EU_Position,Party,Name,Constituency ID
Leave,Con,Andrea Leadsom,E14000942
Remain,Con,Seema Kennedy,E14000943
Remain,Lab,Emma Lewell-Buck,E14000944
Remain,Con,Gavin Williamson,E14000945
Remain,Con,James Cartlidge,E14000946
Remain,Con,Robert Buckland,E14000947
Leave,Con,Craig Mackinlay,E14000948
Remain,Con,Andrew Selous,E14000949
Remain,Con,Gary Streeter,E14000950
Remain,Con,David Gauke,E14000951
Remain,Con,Elizabeth Truss,E14000952
Remain,Con,Jeremy Hunt,E14000953
Leave,Con,Andrew Murrison,E14000954
Leave,Con,Royston Smith,E14000955
Remain,Lab,Alan Whitehead,E14000956
Leave,Con,David Amess,E14000957
Remain,Liberal Democrat,John Pugh,E14000958
Leave,Con,Kwasi Kwarteng,E14000959
Leave,Con,Anne Main,E14000960
Leave,Con,Steve Double,E14000961
Remain,Lab,Conor McGinn,E14000962
Remain,Lab,Marie Rimmer,E14000963
Leave,Con,Derek Thomas,E14000964
Remain,Con,Jeremy Lefroy,E14000965
Remain,Con,Karen Bradley,E14000966
Remain,Lab,Jonathan Reynolds,E14000967
Leave,Con,Stephen McPartland,E14000968
Remain,Lab,Ann Coffey,E14000969
Remain,Lab,Alex Cunningham,E14000970
Leave,Con,James Wharton,E14000971
Remain,Lab,Ruth Smeeth,E14000973
Remain,Lab,Rob Flello,E14000974
Leave,Con,Bill Cash,E14000975
Remain,Con,Margot James,E14000976
Leave,Con,Nadhim Zahawi,E14000977
Remain,Lab,Chuka Umunna,E14000978
Remain,Lab,Kate Green,E14000979
Remain,Con,Neil Carmichael,E14000980
Remain,Con,Therese Coffey,E14000981
Remain,Lab,Julie Elliott,E14000982
Leave,Con,Michael Gove,E14000983
Leave,Con,Paul Scully,E14000984
Remain,Con,Andrew Mitchell,E14000985
Leave,Con,Christopher Pincher,E14000986
Remain,Con,George Osborne,E14000987
Remain,Con,Rebecca Pow,E14000988
Leave,Con,Lucy Allan,E14000989
